STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
COLORADO,1932,House,1,James D. Parriott,Republican,59477
COLORADO,1932,House,1,Ward Rogers,Socialist,577
COLORADO,1932,House,1,James Allander,Communist,272
COLORADO,1932,House,1,William S. Hill,Republican,76589
COLORADO,1932,House,2,Fred Cummings,Democrat,66692
COLORADO,1932,House,2,Henry Neumann,Socialist,478
COLORADO,1932,House,2,Robert F. Billings,Peace,341
COLORADO,1932,House,3,J. Edgar Chenoweth,Republican,70842
COLORADO,1932,House,3,Byron G. Rogers,Democrat,65289
COLORADO,1932,House,4,Edward T. Taylor,Democrat,44095
COLORADO,1932,House,4,Paul W. Crawford,Republican,30126
CONNECTICUT,1932,Presidential Electors,,,Democratic,,417621
CONNECTICUT,1932,Presidential Electors,,,Republican,,361021
CONNECTICUT,1932,Presidential Electors,,,Union,,798
CONNECTICUT,1932,Presidential Electors,,,Communist,,1091
CONNECTICUT,1932,Presidential Electors,,,Socialist-Labor,,971
CONNECTICUT,1932,Senate,,,Francis T. Maloney,Democrat,416740
CONNECTICUT,1932,Senate,,,Paul L. Cornell,Republican,357574
CONNECTICUT,1932,Senate,,,Union,,739
CONNECTICUT,1932,Senate,,,Kenneth W. Thurlow,Socialist,6557
CONNECTICUT,1932,Senate,,,James A. Hutchin,Socialist-Labor,1334
CONNECTICUT,1932,Senate,,,Isadore Wofsy,Communist,1114
CONNECTICUT,1932,House,1,Herman P. Kopplemann,Democrat,109880
CONNECTICUT,1932,House,1,William J. Miller,Republican,92207
CONNECTICUT,1932,House,1,Socialist,,610
CONNECTICUT,1932,House,1,Union,,163
CONNECTICUT,1932,House,1,Scattering,,10
CONNECTICUT,1932,House,2,William J. Fitzgerald,Democrat,63021
CONNECTICUT,1932,House,2,Thomas R. Ball,Republican,86525
CONNECTICUT,1932,House,2,John R. McHale,Socialist,8474
CONNECTICUT,1932,House,3,James P. Shanley,Democrat,84439
CONNECTICUT,1932,House,3,Raulr Compton,Republican,72570
CONNECTICUT,1932,House,3,Union,,808
CONNECTICUT,1932,House,3,Le Roy D. Downs,Democrat,90942
CONNECTICUT,1932,House,3,Union,,250
CONNECTICUT,1932,House,4,Albert E. Austin,Republican,90239
CONNECTICUT,1932,House,4,George Moffatt,Socialist,4262
CONNECTICUT,1932,House,4,Scattering,,6
CONNECTICUT,1932,House,5,J. Joseph Smith,Democrat,62783
CONNECTICUT,1932,House,5,Frank T. Johnson,Republican,51049
CONNECTICUT,1932,House,5,John W. Ring,Socialist,479
CONNECTICUT,1932,House,5,Scattering,,29
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Connecticut,1940,House,,Lucien Maciora,Democrat,407866
Connecticut,1940,House,,B. J. Monkiewicz,Republican,365851
Connecticut,1940,House,,Bellani Trombley,Socialist,6040
Connecticut,1940,House,,Andrew Jacob Jr.,Socialist-Labor,1853
Connecticut,1940,House,,Oscar W. Nelson,Union,851
Delaware,1940,Presidential,,,,Democratic,74599
Delaware,1940,Presidential,,,,Republican,61440
Delaware,1940,Presidential,,,,Prohibition,220
Delaware,1940,Presidential,,,,Socialist,115
Delaware,1940,Senate,,,James M. Tunnell,Democrat,68294
Delaware,1940,Senate,,,John G. Townsend Jr.,Republican,63799
Delaware,1940,Senate,,,William F. Allen,Liberal Democrat,2786
Delaware,1940,House,,Philip A. Traynor,Democrat,68205
Delaware,1940,House,,George S. Williams,Republican,64384
Delaware,1940,House,,Royden C. Caulk,Liberal Democrat,2189
Florida,1940,Presidential,,,,Democratic,359334
Florida,1940,Presidential,,,,Republican,126158
Florida,1940,Senate,,,Charles O. Andrews,Democrat,323216
Florida,1940,House,1,J. Hardin Peterson,Democrat,88158
Florida,1940,House,2,R. A. (Lex) Green,Democrat,68797
Florida,1940,House,2,Francis McHale,Republican,8582
Florida,1940,House,3,Robert Sikes,Democrat,36562
Florida,1940,House,4,Pat Cannon,Democrat,84594
Florida,1940,House,4,Bert L. Acker,Republican,27815
Florida,1940,House,5,Joe Hendricks,Democrat,49715
Florida,1940,House,5,Emory Akerman,Republican,16214
Georgia,1940,Presidential,,,,Democratic,265194
Georgia,1940,Presidential,,,,Republican,23934
Georgia,1940,Presidential,,,,Independent Democrats,22428
Georgia,1940,Presidential,,,,Prohibition,983
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
LOUISIANA,1940,House,1,F. Edward Hébert,Democrat,58234
LOUISIANA,1940,House,2,T. Hale Boggs,Democrat,56026
LOUISIANA,1940,House,3,James Domengeaux,Democrat,27081
LOUISIANA,1940,House,4,David W. Pipes Jr.,Republican,13933
LOUISIANA,1940,House,4,Overton Brooks,Democrat,33704
LOUISIANA,1940,House,5,Benjamin E. Neal,Independent,33492
LOUISIANA,1940,House,5,Newt V. Mills,Democrat,33462
LOUISIANA,1940,House,6,Jared Y. Sanders Jr.,Democrat,41172
LOUISIANA,1940,House,7,Vance Plauché,Democrat,28518
LOUISIANA,1940,House,8,A. Leonard Allen,Democrat,28904
MAINE,1940,Presidential,,,,Republican,163951
MAINE,1940,Presidential,,,,Democratic,156478
MAINE,1940,Presidential,,,,Communist,411
MAINE,1940,Senate,,,Ralph O. Brewster,Republican,150149
MAINE,1940,Senate,,,Louis J. Brann,Democrat,105740
MAINE,1940,Senate,,,Lewis Gordon,,305
MAINE,1940,House,1,James C. Oliver,Republican,55503
MAINE,1940,House,1,Peter M. MacDonald,Democrat,32018
MAINE,1940,House,2,Margaret Chase Smith,Republican,57152
MAINE,1940,House,2,Edward J. Beauchamp,Democrat,31334
MAINE,1940,House,3,Frank Fellows,Republican,46732
MAINE,1940,House,3,Thomas N. Curran,Democrat,23034
MARYLAND,1940,Presidential,,,,Democratic,384546
MARYLAND,1940,Presidential,,,,Republican,269534
MARYLAND,1940,Presidential,,,,Socialist,4094
MARYLAND,1940,Presidential,,,,Communist,1274
MARYLAND,1940,Presidential,,,,Labor Party of Maryland,657
MARYLAND,1940,Senate,,,George L. Radcliffe,Democrat,394239
MARYLAND,1940,Senate,,,Harry W. Nice,Republican,203912
MARYLAND,1940,Senate,,,Edwin B. Abbott,,4201
MARYLAND,1940,Senate,,,David L. Elliott,,3423
MARYLAND,1940,Senate,,,Robert Kadish,,1348
MARYLAND,1940,Senate,,,Albert E. Blumberg,,1349
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
California, , , ,Progressives,Progressive,16506
California, , , ,scattering,Scattering,262
Connecticut, , , ,Socialist Labor,Socialist Labor,971
Georgia, , , ,Independent Democrats,Independent Democrat,22428
Illinois, , , ,scattering,Scattering,637
Indiana, , , ,scattering,Scattering,106
Iowa, , , ,Socialist Labor,Socialist Labor,452
Louisiana, , , ,Independents,Independent,108
Maryland, , , ,"Labor Party of Maryland",Labor Party,657
Massachusetts, , , ,Socialist Labor,Socialist Labor,1492
Massachusetts, , , ,scattering,Scattering,32
Michigan, , , ,Socialist Labor,Socialist Labor,795
Minnesota, , , ,Industrial,Industrial,2532
Mississippi, , , ,Independent Republicans,Independent Republican,4550
Missouri, , , ,Socialist Labor,Socialist Labor,209
New Jersey, , , ,Socialist Labor,Socialist Labor,455
North Dakota, , , ,Alfred Knutson, ,545
Oregon, , , ,Socialist Labor,Socialist Labor,2487
Oregon, , , ,scattering,Scattering,40
Pennsylvania, , , ,Independent Government,Independent Government,1515
Pennsylvania, , , ,scattering,Scattering,827
South Carolina, , , ,Jeffersonian Democrats,Jeffersonian Democrat,2464
South Carolina, , , ,"Republican (Tolbert Faction)",Republican,1337
Vermont, , , ,scattering,Scattering,11
Virginia, , , ,Socialist Labor,Socialist Labor,49
Washington, , , ,Socialist Labor,Socialist Labor,667
Wisconsin, , , ,Socialist Labor,Socialist Labor,1882
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Illinois,1940,Senate,,C. Wayland Brooks,Republican,2045924
Illinois,1940,Senate,,James M. Slattery,Democrat,2023097
Illinois,1940,Senate,,Enoch A. Holtwick,,8025
Illinois,1940,Senate,,Clarence H. Mayer,,6517
Illinois,1940,Senate,,Scattering,,16
Illinois,1940,House,1,Arthur W. Mitchell,Democrat,34641
Illinois,1940,House,1,William B. King,Republican,30698
Illinois,1940,House,1,Scattering,,442
Illinois,1940,House,2,Raymond S. McKeough,Democrat,155998
Illinois,1940,House,2,P. H. Moynihan,Republican,146927
Illinois,1940,House,2,Edward A. Kelly,Democrat,145382
Illinois,1940,House,2,Waldemar A. Boehlert,Republican,141768
Illinois,1940,House,2,Scattering,,471
Illinois,1940,House,3,Harry P. Beam,Democrat,74797
Illinois,1940,House,3,Henry F. Schmudde,Republican,21588
Illinois,1940,House,3,Scattering,,21
Illinois,1940,House,4,Adolph J. Sabath,Democrat,35161
Illinois,1940,House,4,Martin Dykema,Republican,14570
Illinois,1940,House,4,A. F. Maciejewski,Democrat,157393
Illinois,1940,House,4,Joseph Wagner,Republican,126258
Illinois,1940,House,5,Leonard W. Schuett,Democrat,229161
Illinois,1940,House,5,James G. Moreland,Republican,220793
Illinois,1940,House,6,Leo Koziolowski,Democrat,10074
Illinois,1940,House,6,Anthony V. Champagne,Republican,11232
Illinois,1940,House,7,Charles S. Dewey,Republican,56806
Illinois,1940,House,7,James McAndrews,Democrat,49816
Illinois,1940,House,8,George A. Paddock,Republican,196001
Illinois,1940,House,8,John Haderlein,Democrat,128827
Illinois,1940,House,8,Scattering,,5
Illinois,1940,House,9,Chauncey W. Reed,Republican,128415
Illinois,1940,House,9,Edgar O. Rakin,Democrat,70581
Illinois,1940,House,9,Nosh M. Mason,Republican,90744
Illinois,1940,House,10,August C. Engh,Democrat,58945
Illinois,1940,House,10,Scattering,,3
Illinois,1940,House,10,Joe E. Allen,Republican,65698
Illinois,1940,House,11,John E. Hayes,Democrat,31502
Illinois,1940,House,11,Scattering,,1
Illinois,1940,House,12,Anton J. Johnson,Republican,60090
Illinois,1940,House,12,Forest Ditzell,Democrat,65451
Illinois,1940,House,13,Rosel D. Cuthbert,Republican,60539
Illinois,1940,House,13,Russell M. Gunn,Democrat,50620
Illinois,1940,House,14,Everett M. Dirksen,Republican,79780
Illinois,1940,House,14,M. C. Clark,Democrat,57667
Illinois,1940,House,15,Leslie C. Arends,Republican,56712
Illinois,1940,House,15,J. Joseph Pritts,Democrat,36102
Illinois,1940,House,16,Jessie Sumner,Republican,64409
Illinois,1940,House,16,James A. Meeks,Democrat,56744
Illinois,1940,House,17,William H. Wheat,Republican,75933
Illinois,1940,House,17,Alfred D. Huston,Democrat,74041
Illinois,1940,House,18,James M. Barnes,Democrat,44824
Illinois,1940,House,18,Hardin E. Hanks,Republican,41806
Illinois,1940,House,18,Scattering,,1
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
MASSACHUSETTS,1936,House,8,Arthur D. Healey,Democrat,71127
MASSACHUSETTS,1936,House,8,John J. Irwin,Republican,57217
MASSACHUSETTS,1936,House,8,Thomas F. Eliot,Democrat,81523
MASSACHUSETTS,1936,House,9,Robert Luce,Republican,74922
MASSACHUSETTS,1936,House,9,George Holden Tinkham,Republican,78029
MASSACHUSETTS,1936,House,10,David M. Owens,Democrat,54039
MASSACHUSETTS,1936,House,10,Thomas A. Flaherty,Democrat,68014
MASSACHUSETTS,1936,House,11,Benjamin J. Green,Republican,13176
MASSACHUSETTS,1936,House,12,John W. McCormack,Democrat,97388
MASSACHUSETTS,1936,House,12,Henry J. Allen,Republican,27002
MASSACHUSETTS,1936,House,12,Richard B. Wigglesworth,Republican,92651
MASSACHUSETTS,1936,House,13,Francis G. O'Neil,Democrat,43606
MASSACHUSETTS,1936,House,13,Freeman Putney Jr.,Prohibition,1187
MASSACHUSETTS,1936,House,14,Joseph W. Martin, Jr.,Republican,65740
MASSACHUSETTS,1936,House,14,Harold E. Cole,Democrat,55241
MASSACHUSETTS,1936,House,14,Charles L. Gilford,Republican,73258
MASSACHUSETTS,1936,House,15,George F. Bakeus,Democrat,53581
MICHIGAN,1936,Presidential Electors,,,Republican,1039717
MICHIGAN,1936,Presidential Electors,,,Democrat,1032991
MICHIGAN,1936,Presidential Electors,,,Socialist,7593
MICHIGAN,1936,Presidential Electors,,,Communist,2534
MICHIGAN,1936,Presidential Electors,,,Prohibition,1795
MICHIGAN,1936,Presidential Electors,,,Socialist-Labor,795
MICHIGAN,1936,Senate,,,Arthur H. Vandenberg,Republican,1053104
MICHIGAN,1936,Senate,,,Frank FitzGerald,Democrat,939740
MICHIGAN,1936,Senate,,,Nahum Burnett,Socialist,2580
MICHIGAN,1936,Senate,,,Elmer Johnson,Communist,2290
MICHIGAN,1936,Senate,,,Carroll P. Pahnen,Prohibition,937
MICHIGAN,1936,Senate,,,Theos A. Grove,Socialist-Labor,691
MICHIGAN,1936,House,1,Rudolph G. Tenerowicz,Democrat,87451
MICHIGAN,1936,House,1,Donald J. Marshall,Republican,21399
MICHIGAN,1936,House,1,Thos. X. Dombrowski,Communist,387
MICHIGAN,1936,House,1,Stanley Wineck,Socialist,279
MICHIGAN,1936,House,2,Earl C. Michener,Republican,72223
MICHIGAN,1936,House,2,Redmond M. Burr,Democrat,43733
MICHIGAN,1936,House,2,Walter S. Haynes,Prohibition,59
MICHIGAN,1936,House,2,Paul W. Shafer,Republican,74614
MICHIGAN,1936,House,3,Charles W. Misner,Democrat,45138
MICHIGAN,1936,House,3,Caron McDaniels,Socialist,224
MICHIGAN,1936,House,3,Oliver O. Pickard,Prohibition,161
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
MARYLAND,1930,House,1,David J. Ward,Democrat,36057
MARYLAND,1930,House,1,Robert F. Duer,Republican,30110
MARYLAND,1930,House,1,Thomas F. Johnson,,1
MARYLAND,1930,House,2,William P. Cole Jr.,Democrat,113448
MARYLAND,1930,House,2,Theodore F. Brown,Republican,59223
MARYLAND,1930,House,3,Thomas D'Alesandro Jr.,Democrat,35430
MARYLAND,1930,House,3,John A. Janetzke,Republican,24143
MARYLAND,1930,House,3,John A. Meyer,Democrat,10120
MARYLAND,1930,House,4,Daniel J. Ellison,Republican,38444
MARYLAND,1930,House,4,Lansdale G. Sasscer,Democrat,25418
MARYLAND,1930,House,5,John N. Townsend,Republican,23857
MARYLAND,1930,House,5,George Brown,,1
MARYLAND,1930,House,5,William P. Byron,Democrat,60037
MARYLAND,1930,House,6,Walter P. Johnson,Republican,52238
MARYLAND,1930,House,6,Charles P. Stewart,,1
MASSACHUSETTS,1930,Presidential Electors,,,Democratic,1076522
MASSACHUSETTS,1930,Presidential Electors,,,Republican,939701
MASSACHUSETTS,1930,Presidential Electors,,,Socialist,34091
MASSACHUSETTS,1930,Presidential Electors,,,Communist,8906
MASSACHUSETTS,1930,Presidential Electors,,,Socialist-Labor,1492
MASSACHUSETTS,1930,Presidential Electors,,,Prohibition,4370
MASSACHUSETTS,1930,Presidential Electors,,,Scattering,12
MASSACHUSETTS,1930,Senate,,David I. Walsh,Democrat,1088385
MASSACHUSETTS,1930,Senate,,Henry Parkman Jr.,Republican,838122
MASSACHUSETTS,1930,Senate,,George R. Thompson,Prohibition,9642
MASSACHUSETTS,1930,Senate,,Philip Frankfeld,Communist,6916
MASSACHUSETTS,1930,Senate,,George Lyman Paine,Socialist,6875
MASSACHUSETTS,1930,Senate,,Hoare T. Hillis,Socialist-Labor,4376
MASSACHUSETTS,1930,Senate,,Scattering,,23
MASSACHUSETTS,1930,House,1,Allen T. Treadway,Republican,72750
MASSACHUSETTS,1930,House,1,Clifford J. Akey,Democrat,54634
MASSACHUSETTS,1930,House,1,Scattering,,3
MASSACHUSETTS,1930,House,2,Charles R. Clason,Republican,76373
MASSACHUSETTS,1930,House,2,Patrick A. Doyle,Democrat,54328
MASSACHUSETTS,1930,House,3,Joseph E. Casey,Democrat,72833
MASSACHUSETTS,1930,House,3,Edward R. Tinsneon,Republican,60676
MASSACHUSETTS,1930,House,3,Scattering,,4
MASSACHUSETTS,1930,House,4,Pehr G. Holmes,Republican,70754
MASSACHUSETTS,1930,House,4,Frank J. McGrall,Democrat,60988
MASSACHUSETTS,1930,House,4,Helen P. Nylén,Prohibition,1130
MASSACHUSETTS,1930,House,5,Edith Nourse Rogers,Republican,120435
MASSACHUSETTS,1930,House,5,Francis J. Roane,Democrat,37453
MASSACHUSETTS,1930,House,6,George J. Bates,Republican,88984
MASSACHUSETTS,1930,House,6,James D. Burns,Democrat,58214
MASSACHUSETTS,1930,House,6,Lawrence J. Conney,Democrat,80866
MASSACHUSETTS,1930,House,7,William Henry Haskell,Republican,22701
MASSACHUSETTS,1930,House,7,Thaxter Eaton,Prohibition,2194
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Georgia,1942,House,1,Hugh Peterson,Democrat,28601
Georgia,1942,House,1,H. W. Sheppard,Independent,111
Georgia,1942,House,1,Thomas H. Gilgniatd,Republican,36
Georgia,1942,House,2,E. E. Cox,Democrat,19443
Georgia,1942,House,2,William Campbell,Independent,536
Georgia,1942,House,3,Stephen Pace,Democrat,22822
Georgia,1942,House,4,Albert Sidney Camp,Democrat,25609
Georgia,1942,House,4,Robert Ramseck,Democrat,41674
Georgia,1942,House,4,Henry J. Alexander,Republican,474
Georgia,1942,House,4,Robert Ramseck,Independent,3
Georgia,1942,House,6,Carl Vinson,Democrat,21961
Georgia,1942,House,6,Mrs. J. Ben Warren,Republican,321
Georgia,1942,House,7,Malcolm C. Harver,Democrat,23260
Georgia,1942,House,7,Lewis H. Crawford,Republican,502
Georgia,1942,House,7,Norman Thomas,,2
Georgia,1942,House,8,John S. Gibson,Democrat,23633
Georgia,1942,House,8,John S. Gibson,Republican,821
Georgia,1942,House,9,B. Frank Whelchel,Democrat,25451
Georgia,1942,House,9,William C. Horton,Republican,4025
Georgia,1942,House,9,William C. Horton,Independent,52
Georgia,1942,House,9,William H. Shay,Independent,526
Georgia,1942,House,10,Paul Brown,Democrat,18521
Georgia,1942,House,10,D. Talmage Bowers,Independent Democrat,1119
Georgia,1942,House,10,D. Talmage Bowers,Independent,1
Georgia,1942,House,10,G. P. King,Independent,1
Idaho,1942,Presidential Electors,,,Democratic,,127842
Idaho,1942,Presidential Electors,,,Republican,,105561
Idaho,1942,Presidential Electors,,,Socialist,,497
Idaho,1942,Presidential Electors,,,Communist,,276
Idaho,1942,Senate,,,John Thomas,Republican,124535
Idaho,1942,Senate,,,Glen Taylor,Democrat,110614
Idaho,1942,House,1,Compton I. White,Democrat,62107
Idaho,1942,House,1,Edward Gaffney,Republican,37909
Idaho,1942,House,2,Henry Dworshak,Republican,69804
Idaho,1942,House,2,Ira H. Masters,Democrat,61726
Illinois,1942,Presidential Electors,,,Democratic,,2149934
Illinois,1942,Presidential Electors,,,Republican,,2047240
Illinois,1942,Presidential Electors,,,Socialist,,10914
Illinois,1942,Presidential Electors,,,Prohibition,,9150
Illinois,1942,Presidential Electors,,,Scattering,,657
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
NEW YORK,1944,House,41,Alfred J. Beiter,Democrat,37204
NEW YORK,1944,House,41,,American Labor,3639
NEW YORK,1944,House,41,J. Francis Harter,Republican,62843
NEW YORK,1944,House,41,Pius L. Schwert,Democrat,58355
NEW YORK,1944,House,41,,American Labor,5894
NEW YORK,1944,House,41,Edward F. Moss,Republican,44266
NEW YORK,1944,House,41,Mattie Green,Communist,227
NEW YORK,1944,House,41,Daniel A. Reed,Republican,67520
NEW YORK,1944,House,43,Milton A. Bissell,Democrat,39205
NEW YORK,1944,House,43,,American Labor,1775
NEW YORK,1944,House,43,, ,40980
NEW YORK,1944,House,AT LARGE,Caroline O'Day,Democrat,2831983
NEW YORK,1944,House,AT LARGE,,American Labor,407621
NEW YORK,1944,House,AT LARGE,Matthew J. Merritt,Democrat,2321216
NEW YORK,1944,House,AT LARGE,,American Labor,361720
NEW YORK,1944,House,AT LARGE,Mary Donlon,Republican,2830517
NEW YORK,1944,House,AT LARGE,Mesmore Kendall,Republican,2812066
NEW YORK,1944,House,AT LARGE,Helen G. H. Estelle,Prohibition,5679
NEW YORK,1944,House,AT LARGE,Neil Dow Cranmer,Prohibition,5212
NEW YORK,1944,House,AT LARGE,Blank, void, and scattering,,768169
NORTH CAROLINA,1944,Presidential Electors,,,Democratic,609015
NORTH CAROLINA,1944,Presidential Electors,,,Republican,213633
NORTH CAROLINA,1944,House,1,Herbert C. Bonner,Democrat,36722
NORTH CAROLINA,1944,House,1,John A. Wilkinson,Republican,2851
NORTH CAROLINA,1944,House,2,John H. Kerr,Democrat,41717
NORTH CAROLINA,1944,House,2,Graham Barden,Democrat,31277
NORTH CAROLINA,1944,House,3,Julian T. Gaskill,Republican,11448
NORTH CAROLINA,1944,House,4,Harold D. Cooley,Democrat,57610
NORTH CAROLINA,1944,House,4,Ezra Parker,Republican,14926
NORTH CAROLINA,1944,House,5,Alonzo D. Folger,Democrat,63778
NORTH CAROLINA,1944,House,5,Otis James Reynolds,Republican,15872
NORTH CAROLINA,1944,House,6,Carl T. Durham,Democrat,55249
NORTH CAROLINA,1944,House,6,Gilliam Grisson,Republican,15619
NORTH CAROLINA,1944,House,7,J. Bayard Clark,Democrat,41663
NORTH CAROLINA,1944,House,7,Fred K. Reitzel,Republican,7168
NORTH CAROLINA,1944,House,8,William O. Burgin,Democrat,57879
NORTH CAROLINA,1944,House,8,F. D. B. Harding,Republican,28282
NORTH CAROLINA,1944,House,9,Robert L. Doughton,Democrat,20375
NORTH CAROLINA,1944,House,9,Monroe Adams,Republican,28287
NORTH CAROLINA,1944,House,10,Alfred L. Bulwinkle,Democrat,87156
NORTH CAROLINA,1944,House,10,Ernest M. Morgan,Republican,37736
NORTH CAROLINA,1944,House,11,Zebulon Weaver,Democrat,75763
NORTH CAROLINA,1944,House,11,Robert Frank Jarrett,Republican,34104
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Alabama,1840,Presidential,,,,25017
Arkansas,1840,Presidential,,,,1587
Connecticut,1840,Presidential,,,,31794
Delaware,1840,Presidential,,,,6470
Georgia,1840,Presidential,,,,40794
Illinois,1840,Presidential,,,,45510
Indiana,1840,Presidential,,,,67684
Kentucky,1840,Presidential,,,,58484
Louisiana,1840,Presidential,,,,18484
Maine,1840,Presidential,,,,46417
Maryland,1840,Presidential,,,,33874
Massachusetts,1840,Presidential,,,,73431
Michigan,1840,Presidential,,,,21240
Mississippi,1840,Presidential,,,,21883
Missouri,1840,Presidential,,,,23581
New Hampshire,1840,Presidential,,,,32120
New Jersey,1840,Presidential,,,,33451
New York,1840,Presidential,,,,226001
North Carolina,1840,Presidential,,,,46376
Ohio,1840,Presidential,,,,148157
Pennsylvania,1840,Presidential,,,,144010
Rhode Island,1840,Presidential,,,,5312
South Carolina,1840,Presidential,,,,0
Tennessee,1840,Presidential,,,,60194
Vermont,1840,Presidential,,,,29322
Virginia,1840,Presidential,,,,43113
Alabama,1840,Presidential,,,,281
Arkansas,1840,Presidential,,,,21
Connecticut,1840,Presidential,,,,2
Delaware,1840,Presidential,,,,2
Georgia,1840,Presidential,,,,2
Illinois,1840,Presidential,,,,2
Indiana,1840,Presidential,,,,2
Kentucky,1840,Presidential,,,,2
Louisiana,1840,Presidential,,,,2
Maine,1840,Presidential,,,,2
Maryland,1840,Presidential,,,,2
Massachusetts,1840,Presidential,,,,2
Michigan,1840,Presidential,,,,2
Mississippi,1840,Presidential,,,,2
Missouri,1840,Presidential,,,,2
New Hampshire,1840,Presidential,,,,2
New Jersey,1840,Presidential,,,,2
New York,1840,Presidential,,,,2
North Carolina,1840,Presidential,,,,2
Ohio,1840,Presidential,,,,2
Pennsylvania,1840,Presidential,,,,2
Rhode Island,1840,Presidential,,,,2
South Carolina,1840,Presidential,,,,2
Tennessee,1840,Presidential,,,,2
Vermont,1840,Presidential,,,,2
Virginia,1840,Presidential,,,,2
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Alaska, ,Delegate,,"Anthony J. Dimond",Democrat,11241
Alaska, ,Delegate,,"Cash Cole",Republican,3320
Hawaii, ,Delegate,,"Samuel Wilder King",Republican,54466
Puerto Rico, ,Resident Commissioner,,"Bolívar Pagán",Coalitionist,222384
Puerto Rico, ,Resident Commissioner,,"Antonio Fernos Isern",Popular,214842
Puerto Rico, ,Resident Commissioner,,"Miguel A. Garcia Mendez",Unification,131521
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
NEW YORK,1938,House,24,James M. Fitzpatrick,Democrat,161577
NEW YORK,1938,House,24,Ralph W. Gwinn,Republican,136365
NEW YORK,1938,House,24,George Thomas,American Labor,23335
NEW YORK,1938,House,24,Antonio Lambardo,Communist,350
NEW YORK,1938,House,24,Ralph A. Gamble,Republican,121410
NEW YORK,1938,House,25,Homer A. Stebbins,Democrat,154217
NEW YORK,1938,House,25,George O. Pershing,American Labor,8472
NEW YORK,1938,House,25,Hamilton Fish,Republican,159742
NEW YORK,1938,House,26,Hardy Steeholm,Democrat,68515
NEW YORK,1938,House,26,Don Miller,American Labor,4071
NEW YORK,1938,House,27,Lewis K. Rockefeller,Republican,61518
NEW YORK,1938,House,27,George J. Murtar,Democrat,59610
NEW YORK,1938,House,27,William T. Byrne,Democrat,59940
NEW YORK,1938,House,28,William V. A. Waterman,Republican,89944
NEW YORK,1938,House,28,Jack Davis,American Labor,6134
NEW YORK,1938,House,28,E. Harold Audet,Republican,82388
NEW YORK,1938,House,29,Salvatore J. Lomenzo,Democrat,63288
NEW YORK,1938,House,29,Coleman B. Cheney,American Labor,4308
NEW YORK,1938,House,29,Frank Crowther,Republican,64598
NEW YORK,1938,House,30,Durik G. McKillip,Democrat,51721
NEW YORK,1938,House,30,John McMahon,American Labor,3524
NEW YORK,1938,House,30,Clarence E. Hobart,Republican,73270
NEW YORK,1938,House,31,Horatio W. Pushing,Democrat,32337
NEW YORK,1938,House,31,American Labor,,2370
NEW YORK,1938,House,31,Francis D. Culkin,Republican,115707
NEW YORK,1938,House,32,Frank M. McCormack,Democrat,30105
NEW YORK,1938,House,32,Clarence Stutter,American Labor,2483
NEW YORK,1938,House,32,Fred J. Douglas,Republican,72485
NEW YORK,1938,House,33,Samuel H. Miller,Democrat,22149
NEW YORK,1938,House,33,Edward G. Cluery,American Labor,3469
NEW YORK,1938,House,33,Edwin A. Hall,Republican,93909
NEW YORK,1938,House,34,Donald W. Kramer,Democrat,25075
NEW YORK,1938,House,34,William Ewing,American Labor,4923
NEW YORK,1938,House,34,Clarence E. Hancock,Republican,92567
NEW YORK,1938,House,35,Flare D. Johnson,Democrat,97688
NEW YORK,1938,House,35,John F. Solum,American Labor,5380
NEW YORK,1938,House,35,John Taber,Republican,64707
NEW YORK,1938,House,36,John W. Kennelly,Democrat,64507
NEW YORK,1938,House,36,Walter Walczyk,American Labor,4099
NEW YORK,1938,House,36,W. Sterling Cole,Republican,72814
NEW YORK,1938,House,37,David Moses,Democrat,38578
NEW YORK,1938,House,37,L. Cyrus Rigby,American Labor,2552
NEW YORK,1938,House,37,Joseph J. O'Brien,Republican,92866
